Team 1,Team 2,Season,Group,Match ID,Score Team 1,Score Team 2,Time,Season,Red Card Team 1,Red Card Team 2,Win Team 1,Win Team 2
WSR,MCH,1,B,32,1,5,Final,S1,0,0,0,1
HBD,L7F,1,A,33,0,5,Forfeit,S1,0,0,0,1
BBF,NFC,1,A,34,4,3,Final,S1,0,0,1,0
MCH,MFC,1,B,35,5,2,Final,S1,0,0,1,0
FCB,HVB,1,B,36,7,1,Final,S1,0,0,1,0
SWF,HPA,1,B,37,0,5,Forfeit,S1,0,0,0,1
FCB,MCH,1,B,38,1,5,Final,S1,0,0,0,1
BBF,TUE,1,A,39,7,1,Final,S1,0,0,1,0
HVB,SWF,1,B,40,1,15,Final,S1,0,0,0,1
NPC,WCS,1,A,41,7,3,Final,S1,0,0,1,0
MFC,NFC,1,Playoff,42,4,2,Playoff/OT,S1,0,0,1,0
NPC,WSR,1,Playoff,43,1(2),1(1),Playoff/OT,S1,0,0,1,0
MFC,BBF,1,Playoff,44,2,3,Playoff/FT,S1,0,0,0,1
NPC,MCH,1,Playoff,45,4,5,Playoff/FT,S1,0,0,0,1
BBF,MCH,1,Playoff,46,2,7,Playoff/FT,S1,0,0,0,1
BBL,TOE,2,A,47,16,1,Final,S2,0,0,1,0
LJP,ASB,2,B,48,2,7,Final,S2,0,0,0,1
TFF,MCH,2,B,49,3,3,Final,S2,0,0,0,0
NPC,SFA,2,A,50,9,2,Final,S2,0,0,1,0
TOE,BNC,2,A,51,1,9,Final,S2,0,0,0,1
HBD,HPA,2,B,52,9,1,Final,S2,0,0,1,0
CSW,SHT,2,A,53,2,1,Final,S2,0,0,1,0
ASB,E44,2,B,54,8,0,Final,S2,0,0,1,0
SFA,SHT,2,A,55,5,1,Final,S2,0,0,1,0
HBD,ASB,2,B,56,4,7,Final,S2,0,0,0,1
CSW,TOE,2,A,57,2,3,Final,S2,0,0,0,1
NPC,BNC,2,A,58,3,4,Final,S2,0,0,0,1
HBD,E44,2,B,59,5,4,Final,S2,0,0,1,0
ASB,MCH,2,B,60,2,4,Final,S2,0,0,0,1
SHT,BNC,2,A,61,1,6,Final,S2,0,0,0,1
CSW,BBL,2,A,62,0,9,Final,S2,0,0,0,1
TFF,LJP,2,B,63,3,2,Final,S2,0,0,1,0
MCH,LJP,2,B,64,8,0,Final,S2,0,0,1,0
HPA,E44,2,B,65,0,5,Forfeit,S2,0,0,0,1
SHT,BBL,2,A,66,2,11,Final,S2,0,0,0,1
SFA,CSW,2,A,67,2,1,Final,S2,0,0,1,0
NPC,TOE,2,A,68,16,1,Final,S2,1,0,1,0
MCH,E44,2,B,69,5,1,Final,S2,0,0,1,0
HPA,ASB,2,B,70,0,5,Forfeit,S2,0,0,0,1
BNC,BBL,2,A,71,2,5,Final,S2,0,0,0,1
TOE,SHT,2,A,72,2,5,Final,S2,0,0,0,1
HBD,TFF,2,B,73,4,3,Final,S2,0,0,1,0
MCH,HBD,2,B,74,8,2,Final,S2,0,0,1,0
ASB,TFF,2,B,75,6,2,Final,S2,0,0,1,0
TOE,SFA,2,A,76,3,2,Final,S2,0,0,1,0
NPC,BBL,2,A,77,2,1,Final,S2,0,0,1,0
LJP,HPA,2,B,78,5,0,Forfeit,S2,0,0,1,0
LJP,E44,2,B,79,7,7,Final,S2,0,0,0,0
SFA,BBL,2,A,80,6,9,Final,S2,0,0,0,1
BNC,CSW,2,A,81,3,1,Final,S2,0,0,1,0
HPA,TFF,2,B,82,0,5,Forfeit,S2,0,0,0,1
SHT,NPC,2,A,83,3,10,Final,S2,0,0,0,1
LJP,HBD,2,B,84,3,8,Final,S2,0,0,0,1
SFA,BNC,2,A,85,3,5,Final,S2,0,0,0,1
NPC,CSW,2,A,86,6,1,Final,S2,0,1,1,0
E44,TFF,2,B,87,0,9,Final,S2,0,0,0,1
HPA,MCH,2,B,88,0,5,Forfeit,S2,0,0,0,1
BNC,ASB,2,Playoff,89,4,5,Playoff/FT,S2,0,0,0,1
NPC,HBD,2,Playoff,90,2,0,Playoff/FT,S2,0,0,1,0
BBL,ASB,2,Playoff,91,5,3,Playoff/FT,S2,0,0,1,0
NPC,MCH,2,Playoff,92,0,1,Playoff/FT,S2,0,0,0,1
BBL,MCH,2,Playoff,93,2,3,Playoff/FT,S2,0,0,0,1
