Season,Match,Team,Opponent,Team Rating,Rating Change,Goals,Goals Allowed,Shots,Assists,Saves,xG,Covr Rate,Save Percent,Yellow Cards,Red Cards,Time
1,38,MCH,FCB,91.72,2.1,5,1,9,5,6,4.29,0.56,0.86,1,0,Final
1,39,BBF,TUE,91.6,-2.88,7,1,7,6,4,7.96,1.0,0.8,0,0,Final
1,39,TUE,BBF,17.87,0.4,1,7,5,0,0,0.74,0.2,0.0,0,0,Final
1,40,HVB,SWF,14.65,-0.16,1,15,8,1,20,1.43,0.12,0.57,1,0,Final
1,40,SWF,HVB,40.69,13.05,15,1,35,7,7,12.8,0.43,0.88,1,0,Final
1,41,NPC,WCS,60.85,-15.62,7,3,13,5,9,7.72,0.54,0.75,2,0,Final
1,41,WCS,NPC,16.75,1.41,3,7,12,1,6,1.03,0.25,0.46,0,0,Final
1,42,MFC,NFC,96.22,12.0,4,2,6,3,18,3.65,0.67,0.9,2,0,Playoff/OT
1,42,NFC,MFC,57.22,-21.71,2,4,20,1,2,1.66,0.1,0.33,1,0,Playoff/OT
1,43,NPC,WSR,61.44,17.37,1,1,13,0,22,2.23,0.08,0.96,2,0,Playoff/OT
1,43,WSR,NPC,79.91,-10.3,1,1,23,1,12,3.07,0.04,0.92,0,0,Playoff/OT
1,44,MFC,BBF,83.62,-6.21,2,3,8,1,11,2.54,0.25,0.79,0,0,Playoff/FT
1,44,BBF,MFC,86.9,8.28,3,2,14,2,6,2.71,0.21,0.75,0,0,Playoff/FT
1,45,NPC,MCH,64.45,-0.5,4,5,9,2,8,2.55,0.44,0.62,0,0,Playoff/FT
1,45,MCH,NPC,87.63,-6.93,5,4,13,2,5,3.87,0.38,0.56,0,0,Playoff/FT
1,46,BBF,MCH,68.92,-19.75,2,7,7,1,12,2.48,0.29,0.63,0,0,Playoff/FT
1,46,MCH,BBF,95.94,8.31,7,2,19,3,5,4.36,0.37,0.71,0,0,Playoff/FT
2,47,BBL,TOE,92.21,0.0,16,1,37,8,5,15.72,0.43,0.83,0,0,Final
2,47,TOE,BBL,16.02,0.0,1,16,6,0,21,0.98,0.17,0.57,0,0,Final
2,48,LJP,ASB,20.77,0.0,2,7,7,1,9,1.96,0.29,0.56,0,0,Final
2,48,ASB,LJP,51.44,0.0,7,2,16,3,5,6.85,0.44,0.71,0,0,Final
2,49,TFF,MCH,92.45,0.0,3,3,9,2,8,2.95,0.33,0.73,0,0,Final
2,49,MCH,TFF,92.45,-3.15,3,3,11,3,6,2.95,0.27,0.67,0,0,Final
2,50,NPC,SFA,55.99,1.07,9,2,13,8,11,8.77,0.69,0.85,0,0,Final
2,50,SFA,NPC,19.37,0.0,2,9,13,6,4,1.95,0.15,0.31,0,0,Final
2,51,TOE,BNC,15.8,-0.27,1,9,3,1,19,0.97,0.33,0.68,0,0,Final
2,51,BNC,TOE,58.28,0.0,9,1,28,7,2,8.72,0.32,0.67,0,0,Final
2,52,HBD,HPA,37.82,12.65,9,1,34,3,4,5.62,0.26,0.8,0,0,Final
2,52,HPA,HBD,18.47,-3.69,1,9,5,1,25,1.71,0.2,0.74,0,0,Final
2,53,CSW,SHT,41.03,0.0,2,1,7,0,11,1.95,0.29,0.92,1,0,Final
2,53,SHT,CSW,24.49,0.0,1,2,12,1,5,0.98,0.08,0.71,0,0,Final
2,54,ASB,E44,100.0,47.1,8,0,23,4,5,7.8,0.35,1.0,1,0,Final
2,54,E44,ASB,12.48,0.0,0,8,5,0,15,0.04,0.0,0.65,0,0,Final
2,55,SFA,SHT,23.52,2.52,5,1,12,2,9,4.89,0.42,0.9,0,0,Final
2,55,SHT,SFA,14.28,-10.19,1,5,10,0,7,0.98,0.1,0.58,0,0,Final
2,56,HBD,ASB,100.0,50.72,4,7,9,2,15,3.89,0.44,0.68,0,0,Final
2,56,ASB,HBD,100.0,0.0,7,4,22,5,5,6.8,0.32,0.56,0,0,Final
2,57,CSW,TOE,20.29,-20.63,2,3,13,1,7,1.96,0.15,0.7,0,0,Final
2,57,TOE,CSW,25.19,12.77,3,2,10,2,11,2.94,0.3,0.85,0,0,Final
2,58,NPC,BNC,98.96,-0.23,3,4,10,2,6,2.94,0.3,0.6,1,0,Final
2,58,BNC,NPC,99.97,0.03,4,3,10,3,7,3.87,0.4,0.7,0,0,Final
2,59,HBD,E44,40.26,-40.64,5,4,19,1,8,4.45,0.26,0.67,0,0,Final
2,59,E44,HBD,25.08,12.66,4,5,12,2,14,2.36,0.33,0.74,0,0,Final
2,60,ASB,MCH,81.95,-8.44,2,4,16,1,8,2.82,0.12,0.67,1,0,Final
2,60,MCH,ASB,95.29,3.23,4,2,12,3,14,3.86,0.33,0.88,0,0,Final
2,61,SHT,BNC,15.19,1.18,1,6,8,0,6,0.49,0.12,0.5,0,0,Final
2,61,BNC,SHT,69.95,-13.74,6,1,12,4,7,6.57,0.5,0.88,0,0,Final
2,62,CSW,BBL,17.28,0.71,0,9,4,0,7,0.3,0.0,0.44,1,0,Final
2,62,BBL,CSW,100.0,0.61,9,0,16,4,4,9.03,0.56,1.0,0,0,Final
2,63,TFF,LJP,71.33,-23.06,3,2,13,2,5,3.83,0.23,0.71,0,0,Final
2,63,LJP,TFF,36.51,8.41,2,3,7,0,10,1.8,0.29,0.77,0,0,Final
2,64,MCH,LJP,96.36,3.35,8,0,21,4,9,6.71,0.38,1.0,0,0,Final
2,64,LJP,MCH,23.86,-12.65,0,8,9,0,13,1.01,0.0,0.62,0,0,Final
2,65,HPA,E44,19.98,0.0,0,5,0,0,0,2.93,0.0,0.0,0,0,Forfeit
2,65,E44,HPA,23.37,0.0,5,0,0,0,0,4.01,0.0,0.0,0,0,Forfeit
2,66,SHT,BBL,16.69,1.13,2,11,10,2,14,0.9,0.2,0.56,0,0,Final
2,66,BBL,SHT,86.7,-13.3,11,2,25,8,8,10.85,0.44,0.8,0,0,Final
2,67,SFA,CSW,22.89,-1.88,2,1,7,0,7,2.9,0.29,0.88,0,0,Final
2,67,CSW,SFA,16.36,0.1,1,2,8,0,5,1.23,0.12,0.71,0,0,Final
2,68,NPC,TOE,77.96,6.05,16,1,21,14,11,14.43,0.76,0.92,4,2,Final
2,68,TOE,NPC,15.89,-1.74,1,16,12,1,5,1.16,0.08,0.24,0,0,Final
2,69,MCH,E44,98.67,-0.3,5,1,23,3,4,6.15,0.22,0.8,0,0,Final
2,69,E44,MCH,28.43,2.55,1,5,5,1,18,1.07,0.2,0.78,0,0,Final
2,70,HPA,ASB,21.28,0.0,0,5,0,0,0,1.55,0.0,0.0,0,0,Forfeit
2,70,ASB,HPA,90.96,0.0,5,0,0,0,0,10.8,0.0,0.0,0,0,Forfeit
2,71,BNC,BBL,54.34,-8.11,2,5,3,1,8,2.38,0.67,0.62,0,0,Final
2,71,BBL,BNC,85.53,13.02,5,2,13,3,1,4.17,0.38,0.33,0,0,Final
2,72,TOE,SHT,15.46,-0.58,2,5,13,0,8,2.69,0.15,0.62,0,0,Final
2,72,SHT,TOE,17.09,1.06,5,2,13,2,11,3.98,0.38,0.85,0,0,Final
2,73,HBD,TFF,48.81,2.53,4,3,14,4,19,3.05,0.29,0.86,0,0,Final
2,73,TFF,HBD,50.55,-14.32,3,4,22,1,10,3.16,0.14,0.71,1,0,Final
2,74,MCH,HBD,98.64,0.75,8,2,19,6,5,5.89,0.42,0.71,0,0,Final
2,74,HBD,MCH,45.53,-3.28,2,8,7,1,11,1.82,0.29,0.58,0,0,Final
2,75,ASB,TFF,92.17,2.43,6,2,20,2,4,5.27,0.3,0.67,1,0,Final
2,75,TFF,ASB,46.45,-4.35,2,6,6,2,14,2.19,0.33,0.7,0,0,Final
2,76,TOE,SFA,15.94,0.45,3,2,13,2,17,2.38,0.23,0.89,0,0,Final
2,76,SFA,TOE,18.95,-3.81,2,3,19,1,10,4.16,0.11,0.77,0,0,Final
2,77,NPC,BBL,82.31,4.47,2,1,10,2,10,2.88,0.2,0.91,0,0,Final
